number,is_valid_cup_round,start,end,notes
1,TRUE,2018-08-07 0:00:00,2018-08-14 0:00:00,
2,TRUE,2018-08-14 0:00:00,2018-08-21 0:00:00,
3,TRUE,2018-08-21 0:00:00,2018-08-28 0:00:00,
4,TRUE,2018-08-28 0:00:00,2018-09-04 0:00:00,
5,FALSE,2018-09-04 0:00:00,2018-09-11 0:00:00,INTERNATIONAL
6,TRUE,2018-09-11 0:00:00,2018-09-18 0:00:00,
7,TRUE,2018-09-18 0:00:00,2018-09-25 0:00:00,
8,TRUE,2018-09-25 0:00:00,2018-10-02 0:00:00,
9,TRUE,2018-10-02 0:00:00,2018-10-09 0:00:00,
10,FALSE,2018-10-09 0:00:00,2018-10-16 0:00:00,INTERNATIONAL
11,TRUE,2018-10-16 0:00:00,2018-10-23 0:00:00,
12,TRUE,2018-10-23 0:00:00,2018-10-30 0:00:00,
13,TRUE,2018-10-30 0:00:00,2018-11-06 0:00:00,
14,TRUE,2018-11-06 0:00:00,2018-11-13 0:00:00,
15,FALSE,2018-11-13 0:00:00,2018-11-20 0:00:00,INTERNATIONAL
16,TRUE,2018-11-20 0:00:00,2018-11-27 0:00:00,
17,TRUE,2018-11-27 0:00:00,2018-12-04 0:00:00,
18,TRUE,2018-12-04 0:00:00,2018-12-11 0:00:00,MIDWEEK
19,TRUE,2018-12-11 0:00:00,2018-12-18 0:00:00,
20,TRUE,2018-12-18 0:00:00,2018-12-25 0:00:00,
21,TRUE,2018-12-25 0:00:00,2019-01-01 0:00:00,MIDWEEK
22,FALSE,2019-01-01 0:00:00,2019-01-08 0:00:00,"MIDWEEK, FA CUP RND 3"
23,TRUE,2019-01-08 0:00:00,2019-01-15 0:00:00,
24,TRUE,2019-01-15 0:00:00,2019-01-22 0:00:00,
25,FALSE,2019-01-22 0:00:00,2019-01-29 0:00:00,FA CUP RND 4
26,TRUE,2019-01-29 0:00:00,2019-02-05 0:00:00,MIDWEEK
27,TRUE,2019-02-05 0:00:00,2019-02-12 0:00:00,
28,FALSE,2019-02-12 0:00:00,2019-02-19 0:00:00,FA CUP RND 5
29,FALSE,2019-02-19 0:00:00,2019-02-26 0:00:00,LEAGUE CUP FINAL
30,TRUE,2019-02-26 0:00:00,2019-03-05 0:00:00,MIDWEEK
31,TRUE,2019-03-05 0:00:00,2019-03-12 0:00:00,
32,FALSE,2019-03-12 0:00:00,2019-03-19 0:00:00,FA CUP RND 6
33,FALSE,2019-03-19 0:00:00,2019-03-26 0:00:00,INTERNATIONAL
34,TRUE,2019-03-26 0:00:00,2019-04-02 0:00:00,
35,TRUE,2019-04-02 0:00:00,2019-04-09 0:00:00,
36,TRUE,2019-04-09 0:00:00,2019-04-16 0:00:00,
37,FALSE,2019-04-16 0:00:00,2019-04-23 0:00:00,FA CUP SF
38,TRUE,2019-04-23 0:00:00,2019-04-30 0:00:00,
39,TRUE,2019-04-30 0:00:00,2019-05-07 0:00:00,
40,TRUE,2019-05-07 0:00:00,2019-05-14 0:00:00,
41,FALSE,2019-05-14 0:00:00,2019-05-21 0:00:00,FA CUP FINAL
