,,,,,,,PRO EUROPEAN COMPETITIONS,,LEAGUE SERIES,,,,,,PRO CUP,,,
,Week No,GamePhaseID,Start Date,End Date,Notes,IsValidCupRound,PRO CHAMPIONS LEAGUE,PRO EUROPA LEAGUE,15 and 16,13 and 14,11 and 12,9 and 10,7 and 8,5 and 6,5 and 7,8 and 10,11 and 13,14 and 16
,1,12,06/08/2019 0:00,13/08/2019 0:00,,1,,,,,,,,,,,,
,2,13,13/08/2019 0:00,20/08/2019 0:00,,1,,,,,,,,,,,,
,3,14,20/08/2019 0:00,27/08/2019 0:00,,1,,,,,,,,,,,,
,4,15,27/08/2019 0:00,03/09/2019 0:00,,1,,,,,,,,,,,,
,5,16,03/09/2019 0:00,10/09/2019 0:00,INTERNATIONAL,0,,,,,,,,,,,,
,6,17,10/09/2019 0:00,17/09/2019 0:00,,1,,,1,,,,,,,,,
,7,18,17/09/2019 0:00,24/09/2019 0:00,,1,,,2,,,,,,,,,
,8,19,24/09/2019 0:00,01/10/2019 0:00,,1,,,3,,,1,,,,,,
,9,20,01/10/2019 0:00,08/10/2019 0:00,,1,,,4,1,,2,,,,,,
,10,21,08/10/2019 0:00,15/10/2019 0:00,INTERNATIONAL,0,,,,,,,,,,,,
,11,22,15/10/2019 0:00,22/10/2019 0:00,,1,,,5,2,,3,,,,,,
,12,23,22/10/2019 0:00,29/10/2019 0:00,,1,,,6,3,,4,,,,,,
,13,24,29/10/2019 0:00,05/11/2019 0:00,,1,,,7,4,1,5,,,,,,
,14,25,05/11/2019 0:00,12/11/2019 0:00,,1,,,8,5,2,6,1,,,,,
,15,26,12/11/2019 0:00,19/11/2019 0:00,INTERNATIONAL,0,,,,,,,,,,,,
,16,27,19/11/2019 0:00,26/11/2019 0:00,,1,G1,G1,9,6,3,7,2,1,,,,
,17,28,26/11/2019 0:00,03/12/2019 0:00,,1,G2,G2,10,7,4,8,3,2,,,,
,18,29,03/12/2019 0:00,10/12/2019 0:00,MIDWEEK,1,G3,G3,11,8,5,9,4,3,,,,
,19,30,10/12/2019 0:00,17/12/2019 0:00,,1,G4,G4,12,9,6,10,5,4,,,,
,20,31,17/12/2019 0:00,24/12/2019 0:00,,1,G5,G5,13,10,7,11,6,5,,,,
16768,21,32,24/12/2019 0:00,31/12/2019 0:00,MIDWEEK,1,G6,G6,14,11,8,12,7,6,,,,
,22,33,31/12/2019 0:00,07/01/2020 0:00,"MIDWEEK, FA CUP RND 3",1,,,15,12,9,13,8,7,,,,
8384,23,34,07/01/2020 0:00,14/01/2020 0:00,,1,,,16,13,10,14,9,8,,,,
4192,24,35,14/01/2020 0:00,21/01/2020 0:00,,1,,,17,14,11,15,10,9,,,,
,25,36,21/01/2020 0:00,28/01/2020 0:00,"MIDWEEK, FA CUP RND 4",1,,,18,15,12,16,11,10,,1,,
2048,26,37,28/01/2020 0:00,04/02/2020 0:00,,1,,,19,16,13,17,12,11,1,2,1,
1024,27,38,04/02/2020 0:00,11/02/2020 0:00,,1,,,20,17,14,18,13,12,2,3,2,1
,28,39,11/02/2020 0:00,18/02/2020 0:00,INTERNATIONAL,0,,,,,,,,,,,,
,29,40,18/02/2020 0:00,25/02/2020 0:00,,1,,START,21,18,15,19,14,13,3,4,3,2
512,30,41,25/02/2020 0:00,03/03/2020 0:00,LEAGUE CUP FINAL,0,,,22,,,,,,,,,
,31,42,03/03/2020 0:00,10/03/2020 0:00,FA CUP RND 5 (MIDWEEK),1,START,256,23,19,15,20,14,13,4,5,4,3
256,32,43,10/03/2020 0:00,17/03/2020 0:00,,1,128,128,24,20,16,21,15,14,5,6,5,4
,33,44,17/03/2020 0:00,24/03/2020 0:00,FA CUP QF,0,,,,,,,,,,,,
128,34,45,24/03/2020 0:00,31/03/2020 0:00,INTERNATIONAL,1,,,,,,,,,,,,
64,35,46,31/03/2020 0:00,07/04/2020 0:00,,1,64,64,25,21,17,22,16,15,6,7,6,5
32,36,47,07/04/2020 0:00,14/04/2020 0:00,,1,32,32,26,22,18,23,17,16,7,8,7,6
,37,48,14/04/2020 0:00,21/04/2020 0:00,FA CUP SF,0,,,,,,,,,,,,
16,38,49,21/04/2020 0:00,28/04/2020 0:00,,1,16,16,27,23,19,24,18,17,8,9,8,7
8,39,50,28/04/2020 0:00,05/05/2020 0:00,,1,8,8,28,24,20,25,19,18,9,10,9,8
4,40,51,05/05/2020 0:00,12/05/2020 0:00,,1,4,4,29,25,21,26,20,19,10,11,10,9
2,41,,12/05/2020 0:00,19/05/2020 0:00,,1,2,2,30,26,22,27,21,20,11,12,11,10
,42,52,19/05/2020 0:00,26/05/2020 0:00,FA CUP FINAL,0,,,,,,,,,,,,
