,,,,,,PRO EUROPEAN COMPETITIONS,,LEAGUE SERIES,,,,,,PRO CUP,,,
Week No,GamePhaseID,Start Date,End Date,Notes,IsValidCupRound,PRO CHAMPIONS LEAGUE,PRO EUROPA LEAGUE,15 and 16,13 and 14,11 and 12,9 and 10,7 and 8,5 and 6,5-7,8-10,11-13,14-16
1,12,04/08/2020 00:00,15/09/2020 00:00,,0,,,1,,,,,,,,,
2,13,15/09/2020 00:00,22/09/2020 00:00,,1,,,2,,,,,,,,,
3,14,22/09/2020 00:00,29/09/2020 00:00,,1,,,3,,,1,,,,,,
4,15,29/09/2020 00:00,06/10/2020 00:00,,1,,,4,1,,2,,,,,,
5,16,06/10/2020 00:00,13/10/2020 00:00,INTERNATIONAL,0,,,,,,,,,,,,
6,17,13/10/2020 00:00,20/10/2020 00:00,,1,,,5,2,,3,,,,,,
7,18,20/10/2020 00:00,27/10/2020 00:00,,1,G1,G1,6,3,,4,,,,,,
8,19,27/10/2020 00:00,03/11/2020 00:00,,1,G2,G2,7,4,,5,,,,,,
9,20,03/11/2020 00:00,10/11/2020 00:00,,1,G3,G3,8,5,1,6,,,,,,
10,21,10/11/2020 00:00,17/11/2020 00:00,INTERNATIONAL,0,,,,,,,,,,,,
11,22,17/11/2020 00:00,24/11/2020 00:00,,1,G4,G4,9,6,2,7,1,,,,,
12,23,24/11/2020 00:00,01/12/2020 00:00,,1,G5,G5,10,7,3,8,2,1,,,,
13,24,01/12/2020 00:00,08/12/2020 00:00,,1,G6,G6,11,8,4,9,3,2,,,,
14,25,08/12/2020 00:00,15/12/2020 00:00,,1,,,12,9,5,10,4,3,,,,
15,26,15/12/2020 00:00,22/12/2020 00:00,MIDWEEK,1,,,13,10,6,11,5,4,,,,
16,27,22/12/2020 00:00,29/12/2020 00:00,MIDWEEK,1,,,14,11,7,12,6,5,,,,
17,28,29/12/2020 00:00,05/01/2021 00:00,,1,,,15,12,8,13,7,6,,,,
18,29,05/01/2021 00:00,12/01/2021 00:00,FA CUP RND 3,0,,,,,,,,,,,,
19,30,12/01/2021 00:00,19/01/2021 00:00,MIDWEEK,1,,,16,13,9,14,8,7,,,,
20,31,19/01/2021 00:00,26/01/2021 00:00,FA CUP RND 4,0,,,,,,,,,,,,
21,32,26/01/2021 00:00,02/02/2021 00:00,MIDWEEK,1,,,17,14,10,15,9,8,,1,,
22,33,02/02/2021 00:00,09/02/2021 00:00,MIDWEEK,1,,,18,15,11,16,10,9,1,2,1,
23,34,09/02/2021 00:00,16/02/2021 00:00,FA CUP RND 5 (MIDWEEK),1,,,19,16,12,17,11,10,2,3,2,1
24,35,16/02/2021 00:00,23/02/2021 00:00,,1,,,20,17,13,18,12,11,3,4,3,2
25,36,23/02/2021 00:00,02/03/2021 00:00,EFL CUP FINAL,0,,,21,,,,,,,,,
26,37,02/03/2021 00:00,09/03/2021 00:00,,1,,1,22,18,14,19,13,12,4,5,4,3
27,38,09/03/2021 00:00,16/03/2021 00:00,,1,1,2,23,19,15,20,14,13,5,6,5,4
28,39,16/03/2021 00:00,23/03/2021 00:00,FA CUP QF,0,,,,,,,,,,,,
29,40,23/03/2021 00:00,30/03/2021 00:00,INTERNATIONAL,0,,,,,,,,,,,,
30,41,30/03/2021 00:00,06/04/2021 00:00,,1,2,3,24,20,16,21,15,14,6,7,6,5
31,42,06/04/2021 00:00,13/04/2021 00:00,,1,3,4,25,21,17,22,16,15,7,8,7,6
32,43,13/04/2021 00:00,20/04/2021 00:00,FA CUP SF,0,,,,,,,,,,,,
33,44,20/04/2021 00:00,27/04/2021 00:00,,1,4,5,26,22,18,23,17,16,8,9,8,7
34,45,27/04/2021 00:00,04/05/2021 00:00,,1,5,6,27,23,19,24,18,17,9,10,9,8
35,46,04/05/2021 00:00,11/05/2021 00:00,,1,6,7,28,24,20,25,19,18,10,11,10,9
36,47,11/05/2021 00:00,18/05/2021 00:00,"MIDWEEK, FA CUP FINAL",1,7,8,29,25,21,26,20,19,11,12,11,10
37,48,18/05/2021 00:00,01/08/2021 00:00,,1,8,9,30,26,22,27,21,20,12,13,12,11
