DivisionID,LeagueID,LeagueName,CoChairmanID,PackageID,CoChairmanID,
12241,5000,Marching on Together,NULL,105,148,lt6850I6Vxn8LGRizYzmRRqTkLNZADAAQgAxAEQAagBsAC8AegBFAHYAYQBXADAAYQBwAEsANABSADIAMABRAD0APQA=
12242,5001,We All Like a Mulligan,NULL,103,762,YcCRFN0uUP4rlwZ97ZUaArrGN0VvAGcAYgBzAGEAOABCAFMASQBLADgAVQB5AGEANwBxAEsAUQBHAHQAVwBBAD0APQA=
12246,5005,Kevin Murray Memorial League,NULL,103,837,G8j/WcPHR1eIPLyQJRTyJdZ3iAxoAHMAMABqADIAUwA3AGcAeQBnAGsAQwBRADkAVQBEAEoAUwBsAEsAaQBBAD0APQA=
12248,5007,Towers Watson Investment Premiership,NULL,103,1007,2jSZXDqlQiv9/UKBSsw5kgM4NTtXAHkAWQA1AHIAYQBIAEwAOABJAFUAawB2AEwAVwBEADEAeQBQAFYAQwBnAD0APQA=
12249,5008,Mute Super League - Series XXIV,NULL,105,1011,DUhGMd/tT5TIj/vqvaCHSSMzoht6AHIARgBwAEsAVwBHADMARQBrAGMAcgBCAFgAeQBsAGYANwBqAEcANwB3AD0APQA=
12269,5026,The n-n-n-n-nineteenth First Husbands' Club,NULL,105,1133,hICzCyHxpfkQem1xRJsg1js6ncRUADgAYQBRAHEATABBAHoAQQBKAGYAZQBMADUAcwB5AHgAZwBSAFAAawBRAD0APQA=
12272,5028,Super League Dowie,109917,105,1334,AuJMN939XuEAk5TmPectEQ12ABRQAFIAMAA3AEwAawBCAG0ARQAyAGIAagBzAHkAeQBlADYAWgB3AEIASABRAD0APQA=
12275,5031,Dear Dora Bryan League,NULL,105,1442,vx3bbcmZlWh4jcOA/g5ibA1ruxhJAFYAQQBEAHUASwBqAFgANQBmAEYAYgAxACsAMQBRAEQATgBIAEkAaABBAD0APQA=
12276,5032,The Dream League,6565,105,1586,N2Fp0j80DgVGIdAxqWAJ1QPDcEdwAHYATwAwAHAARgBUAGsAZgBDAG8ASgBNAFYAdgB1AGUALwB5AEcARQB3AD0APQA=
12280,5036,Ruby Murray Premier League,3042,105,1611,uW8ka1MzeW2fLF/2BRvRFh14MmZRAHgAdwBxAFoAagBvAHoALwAxAGcATgBRAC8AOQB4ADkAMQBkAG0AYwBRAD0APQA=
12283,5039,The Colchester Croquets,NULL,105,2122,n8mQrJ1lNRCm4dqr++c6Mbb4+L0vADcAZwBEADkAKwA0AFYAaABOAC8AeAByAEYAWAA4AEYAbQBVAGoANQBBAD0APQA=
12291,5047,She Doesn't Understand,8670,105,2240,GfWQ8AHWpURDoOQNMvoeSjYlnq51AEEAUQB5AE8AdwB1AG0AagBrADgAdAA0ADQATwByAHIAaAAzAEoAbwBRAD0APQA=
12306,5061,Time's Up..Machines Down..No More Ink..!!,NULL,105,2402,Mm3X++up7EoqdlGtaqaHCPXRxRt3AEcAMQBNADIAcABJAEwATABXAGsAVgBJAEQAeAB1AC8AeQAzAHEAYwB3AD0APQA=
12311,5066,Keep It Real League,NULL,103,2509,bm5XvJuegTlaThg/Nu4DS6qB1yYwAHQAaQA4AFkAOQBsAG8AcQBpAEQAVABhADEAYQBSAGgAVwBmAFAAawBBAD0APQA=
12313,5068,Bert Kelly's Premier Carthorses,NULL,104,2608,XpJxkQ7fV0K1ditoFrsSauzVLNkwAGYAdgBKAEcAVQBvADAAZgBtAHUAeAB4AEkAaAA5AHcARgBMADYAZwB3AD0APQA=
12315,5070,Site Services Super League,NULL,105,2609,dov2pW5dkJTNupOII743veUI9H5RAG0ARgAvAFUASgBIAEEAcAB6ACsAeABSAEoAOQBWAFYAWABoACsAYQBBAD0APQA=
12323,5078,Baber Din Appreciation Society,9787,105,2863,BpBlPGZ2G0S94RdRqD6tGE9XCAUwAHEAMgBkAEEAagBHAGgAbgByADcAUgBNAHgAcwB6AFQAUABCADAAWAB3AD0APQA=
12325,5080,The Pavement Pizza League of MentalMen,9589,105,2898,rXro/HQmeH3nnF5PcbQsq+yp7SY4AGwAYwBXAHMANgBOAFEAZABlAFEAWQBLAEIAbABEAHEAZgBCACsAWQB3AD0APQA=
12331,5086,Billy Greens Red and White Army,NULL,103,2911,kLLfwEuItbFdcuwD65W1Io5dFE1vAHoATQBrAGUAYwBzAFMAcwA3AEYAQwBmADgAdgBxAHoARABoAFoAWQB3AD0APQA=
12342,5097,11thplus,9421,105,2920,pAwAaWQCkqMaIpHVf5+O7iFSAJdIAFQAYgBvAGQAcQA1AGIATwBLAHoANQBsAFMAYQBPAG0AOAA5ADMARgBnAD0APQA=
12344,5099,The Champs and Chumps Premiership,NULL,105,3042,bt1eY22F/GEd41W7tlm6949f57tEAE0ANgBEAEEAVwBVAFcAagBGAFUAUgAvADIAMgBoAFkATQBvADcATABBAD0APQA=
12347,5102,Inshallah! Fantasy League,NULL,104,3184,yj2aPx3bciyfUUfdnfo4/pAmuxB2ADEATABUAG8AbQBVADgAcQAwACsAagBLAHgAVABmAGQAdwBSAFMANQBBAD0APQA=
12359,5114,COXLESS 18,NULL,105,3185,feh+bgwtJ9A9N3VXVMyxIF9uoRtFAHQASwBHAFYAOAArAEEANgBIAHYAdABTACsAWQB0AHkATgBDAHcARQBRAD0APQA=
12360,5115,Denbigh Hall Fantasy Football League,NULL,105,3195,p6YTkfGl7W9TZBDbxJI2x7h0NLx0AG8ANwB5ADUAegBrAE4AbAAxAG8AOABmAFoAdAAyAFYAegBYAFcATABnAD0APQA=
12362,5117,The Kronenbourg Championship,9433,104,3452,CM+il/cbJtWirhSt/pN3RkyxOqF5AEoASwBtAGcAMwBiAFoAeABJAFkAbABHADAAZQBHAGMAKwB2AEwAYgBRAD0APQA=
12365,5120,Nights At The Round Table,2240,104,3474,AzllODJSwXapvs/ax53fd/0bDvdpADgAUwBpAEoAWgBpAEgANgB5AE4AMQArAHUAZABiADgAdAA0AEcAagB3AD0APQA=
12368,5123,Moribundesliga,NULL,103,3749,5TnHAfMltmjNUTtHf2Wk9UJDXgI5AHgAQgB0AEMAUgBSAEcAQwBEAFoAbABXAE4ANQB1AG4ARAB4AG8AeABBAD0APQA=
12372,5127,pants,NULL,103,3820,cmp6CyBRzLeslAQaI5iKq/+cTs52ADkAMgB4AFEAbwBFAHcAZgBVAHoAQgBnAHcATwArAFgAaABMADkAVgBBAD0APQA=
12382,5137,Levick Goalhangers,NULL,105,3967,ZDE1uc7AhKc/gq2WPR5SIUtE7O5pAEkAcgBLADcAZABRAFIAYgBQACsAUgBEAEgAQgBEAFAAQwBnADkAVABnAD0APQA=
12393,5147,NIBFL Premier League,NULL,105,4112,IsUyKoqSNQYjQFl+TGjYAxfVKwZuAHQAQQArAHkARgB6ADgARgAwAGgAbQBtAEkAagBGAFIAWABqAGoANwBBAD0APQA=
12395,5147,NIBFL Div1,8042,105,4314,oMjI4/ljOgmzAIjVPZ531yInYjZwAG8AdgAyAGgASwBzADMAMAA2AFIAYQB6AHkAeQA3AGMASgBYADQAcwBnAD0APQA=
12402,5153,Jumpers For Goalposts,4314,106,4375,kUq73235fm7uPP8c+hZ2HO5wEUBJAHUAbwB0AHIAcgB0AEgAQgB3AEgATgA5AEoAcgBQAHcAZAAvAHYASQB3AD0APQA=
12403,5154,ALLEZCOME PREMIERSHIP,10885,106,4715,GmlmjL406uEpTicx0UBd5pgbseliAHUARQAzADQAYwBkAGYAUwBoAG8AUgB0AE0AcAByAHYAMQBGAEoAMgBRAD0APQA=
12406,5157,The Tuddenham Dome Memorial League,NULL,105,4892,LsSPFO3kIPGS5Z3bvg9P1Lj6l29iAGgATgBOAFQAaAB2ADQAVwBHAEcARgBHAHEASAB1AEgAQgAzAHIAZABBAD0APQA=
12414,5165,The Ivesy League,NULL,105,5089,baFBv3bd2KAOihvD5G5uBtD+x7dwAE0ASABVAFoAcABOAHMAWABrAG0AdwB4AEgATwBQAGEAOABEAGMAcABRAD0APQA=
12426,5176,George Borough Wednesday League,NULL,103,5139,gKyy9jQrHl2L1vGFuvd3JV1UKzxyAGwAOABRADIARwBEAE4AYQBjAGkAUgBwADkAOQBmAG0AVgBnAG4ATABRAD0APQA=
