Code,Player,Club,Season,Played,(Def) GP,Goals,Assists,Clean Sheets,Goals Against,Points
410,J Milner,Leeds,2002/03,5,0,2,1,0,0,8
142,S Carson,Leeds,2003/04,2,2,0,0,0,3,-1
410,J Milner,Leeds,2003/04,28,0,3,0,0,0,9
441,A Lennon,Leeds,2003/04,1,0,0,1,0,0,2
142,S Carson,Liverpool,2004/05,4,4,0,0,1,3,3
410,J Milner,Newcastle,2004/05,15,0,1,1,0,0,5
121,J Ruddy,Everton,2005/06,1,1,0,0,1,0,3
282,L Baines,Wigan,2005/06,35,35,0,0,9,47,6
369,G Cahill,Aston Villa,2005/06,6,6,1,1,1,11,2
410,J Milner,Aston Villa,2005/06,28,0,1,8,0,0,19
441,A Lennon,Tottenham,2005/06,23,0,2,3,0,0,12
579,M Noble,West Ham,2005/06,4,0,0,0,0,0,0
128,B Foster,Watford,2006/07,29,29,0,0,6,44,-3
142,S Carson,Charlton,2006/07,36,36,0,2,11,55,7
147,J Hart,Man City,2006/07,1,1,0,0,1,0,3
235,P Bardsley,Aston Villa,2006/07,13,13,0,1,5,11,14
246,A Young,Aston Villa,2006/07,31,0,5,5,0,0,25
282,L Baines,Wigan,2006/07,35,35,3,1,7,59,1
340,P Jagielka,Sheff Utd,2006/07,38,0,4,1,0,0,14
369,G Cahill,Aston Villa,2006/07,19,19,0,0,6,26,5
410,J Milner,Newcastle,2006/07,30,0,3,6,0,0,21
441,A Lennon,Tottenham,2006/07,22,0,3,9,0,0,27
506,T Walcott,Arsenal,2006/07,6,0,0,4,0,0,8
579,M Noble,West Ham,2006/07,10,0,2,0,0,0,6
632,S Long,Reading,2006/07,10,0,2,0,0,0,6
126,K Schmeichel,Man City,2007/08,7,7,0,0,4,5,10
128,B Foster,Man Utd,2007/08,1,1,0,0,1,0,3
129,L Fabianski,Arsenal,2007/08,3,3,0,0,1,2,3
142,S Carson,Aston Villa,2007/08,35,35,0,3,9,46,13
147,J Hart,Man City,2007/08,26,26,0,0,7,34,6
235,P Bardsley,Sunderland,2007/08,11,11,0,0,4,10,9
246,A Young,Aston Villa,2007/08,37,0,8,16,0,0,56
282,L Baines,Everton,2007/08,12,12,0,1,4,12,10
286,M Alonso,Bolton,2007/08,4,0,0,0,0,0,0
310,J Tomkins,West Ham,2007/08,5,5,0,0,0,11,-6
332,J Evans,Sunderland,2007/08,15,15,0,0,5,15,10
340,P Jagielka,Everton,2007/08,30,30,1,4,11,24,39
369,G Cahill,Bolton,2007/08,14,14,0,1,5,19,7
410,J Milner,Newcastle,2007/08,25,0,2,2,0,0,10
441,A Lennon,Tottenham,2007/08,25,0,2,5,0,0,16
506,T Walcott,Arsenal,2007/08,11,0,4,3,0,0,18
579,M Noble,West Ham,2007/08,25,0,3,3,0,0,15
632,S Long,Reading,2007/08,7,0,3,3,0,0,15
649,A Carroll,Newcastle,2007/08,1,0,0,1,0,0,2
126,K Schmeichel,Man City,2008/09,1,1,0,0,0,1,0
128,B Foster,Man Utd,2008/09,2,2,0,0,1,1,3
129,L Fabianski,Arsenal,2008/09,5,5,0,1,2,10,1
142,S Carson,West Brom,2008/09,35,35,0,0,7,64,-15
147,J Hart,Man City,2008/09,22,22,0,0,6,31,3
152,A Begovic,Portsmouth,2008/09,2,2,0,0,0,2,0
