Code,Player,Club,Season,Played,(Def) GP,Goals,Assists,Clean Sheets,Goals Against,Points
614,J. Vardy,Leicester,2019/20,33,0,23,7,0,0,83
530,K. De Bruyne,Man City,2019/20,32,0,13,21,0,0,81
543,M. Salah,Liverpool,2019/20,33,0,19,11,0,0,79
688,P. Aubameyang,Arsenal,2019/20,35,0,22,4,0,0,74
667,D. Ings,Southampton,2019/20,32,0,22,3,0,0,72
465,S. Mane,Liverpool,2019/20,30,0,18,9,0,0,72
230,T. Alexander-Arnold,Liverpool,2019/20,36,36,4,14,13,32,70
477,R. Sterling,Man City,2019/20,31,0,20,5,0,0,70
631,M. Rashford,Man Utd,2019/20,31,0,17,8,0,0,67
629,R. Jimenez,Wolves,2019/20,37,0,17,7,0,0,65
484,A. Martial,Man Utd,2019/20,31,0,17,7,0,0,65
239,A. Robertson,Liverpool,2019/20,35,35,2,12,13,31,60
684,S. Aguero,Man City,2019/20,17,0,16,6,0,0,60
445,R. Mahrez,Man City,2019/20,22,0,11,13,0,0,59
603,H. Kane,Tottenham,2019/20,29,0,18,2,0,0,58
678,G. Jesus,Man City,2019/20,23,0,14,8,0,0,58
481,H. Son,Tottenham,2019/20,30,0,11,12,0,0,57
640,T. Abraham,Chelsea,2019/20,25,0,15,5,0,0,55
231,M. Doherty,Wolves,2019/20,33,33,4,8,12,31,54
375,V. Van Dijk,Liverpool,2019/20,38,38,5,1,15,33,52
470,Richarlison,Everton,2019/20,36,0,13,5,0,0,49
627,R. Firmino,Liverpool,2019/20,35,0,9,9,0,0,45
545,Willian,Chelsea,2019/20,29,0,9,9,0,0,45
669,C. Wood,Burnley,2019/20,28,0,14,1,0,0,44
652,A. Lacazette,Arsenal,2019/20,22,0,10,7,0,0,44
928,B. Fernandes,Man Utd,2019/20,14,0,8,9,0,0,42
681,D. Calvert-Lewin,Everton,2019/20,30,0,13,1,0,0,41
416,C. Pulisic,Chelsea,2019/20,19,0,9,7,0,0,41
318,J. Egan,Sheff Utd,2019/20,36,36,2,1,13,30,40
576,D. Silva,Man City,2019/20,22,0,6,11,0,0,40
211,G. Baldock,Sheff Utd,2019/20,38,38,2,4,13,39,39
213,E. Stevens,Sheff Utd,2019/20,38,38,2,5,12,39,39
608,T. Pukki,Norwich,2019/20,33,0,11,3,0,0,39
118,Ederson,Man City,2019/20,34,34,0,0,16,28,38
451,H. Barnes,Leicester,2019/20,26,0,6,10,0,0,38
472,M. Antonio,West Ham,2019/20,22,0,10,4,0,0,38
404,J. Grealish,Aston Villa,2019/20,36,0,8,6,0,0,36
642,N. Maupay,Brighton,2019/20,31,0,10,3,0,0,36
264,K. Walker,Man City,2019/20,29,29,1,4,10,24,36
271,B. Chilwell,Leicester,2019/20,27,27,3,4,9,26,36
552,D. Alli,Tottenham,2019/20,21,0,8,6,0,0,36
132,Alisson,Liverpool,2019/20,28,28,0,1,14,23,35
222,R. Pereira,Leicester,2019/20,28,28,3,2,10,27,34
485,A. Perez,Leicester,2019/20,26,0,8,5,0,0,34
651,T. Deeney,Watford,2019/20,26,0,10,2,0,0,34
549,M. Mount,Chelsea,2019/20,34,0,7,6,0,0,33
256,S. Aurier,Tottenham,2019/20,30,30,1,7,9,32,33
328,W. Boly,Wolves,2019/20,22,22,0,1,12,15,33
292,A. Wan-Bissaka,Man Utd,2019/20,35,35,0,4,11,33,32
277,J. Castro Otto,Wolves,2019/20,33,33,2,3,11,35,32
607,C. Wilson,Bournemouth,2019/20,33,0,8,4,0,0,32
457,B. Silva,Man City,2019/20,23,0,6,7,0,0,32
665,M. Greenwood,Man Utd,2019/20,13,0,10,1,0,0,32
366,H. Maguire,Man Utd,2019/20,38,38,1,0,13,36,31
637,J. Ayew,Crystal Palace,2019/20,37,0,9,2,0,0,31
336,J. Gomez,Liverpool,2019/20,23,23,0,0,12,16,31
362,V. Lindelof,Man Utd,2019/20,35,35,1,0,12,32,30
387,C. Soyuncu,Leicester,2019/20,34,34,1,1,12,33,30
319,J. O'Connell,Sheff Utd,2019/20,32,32,0,1,12,28,30
580,A. Traore,Wolves,2019/20,29,0,4,9,0,0,30
137,D. Henderson,Sheff Utd,2019/20,36,36,0,0,13,33,29
286,M. Alonso,Chelsea,2019/20,17,17,4,3,6,18,29
357,J. Tarkowski,Burnley,2019/20,38,38,2,2,15,50,28
332,J. Evans,Leicester,2019/20,38,38,1,2,12,41,28
135,D. De Gea,Man Utd,2019/20,38,38,0,0,13,36,28
486,J. Maddison,Leicester,2019/20,30,0,6,5,0,0,28
626,J. Rodriguez,Burnley,2019/20,22,0,8,2,0,0,28
323,C. Basham,Sheff Utd,2019/20,38,38,0,1,12,37,27
567,N. Pepe,Arsenal,2019/20,25,0,5,6,0,0,27
634,S. Haller,West Ham,2019/20,25,0,7,3,0,0,27
910,I. Sarr,Watford,2019/20,22,0,5,6,0,0,27
403,A. El Ghazi,Aston Villa,2019/20,25,0,4,7,0,0,26
659,J. King,Bournemouth,2019/20,24,0,6,4,0,0,26
611,O. Giroud,Chelsea,2019/20,12,0,8,1,0,0,26
610,L. Mousset,Sheff Utd,2019/20,12,0,6,4,0,0,26
621,D. Jota,Wolves,2019/20,27,0,7,2,0,0,25
523,L. Trossard,Brighton,2019/20,23,0,5,5,0,0,25
233,C. Taylor,Burnley,2019/20,21,21,0,1,10,18,25
490,S. Armstrong,Southampton,2019/20,18,0,5,5,0,0,25
590,R. Snodgrass,West Ham,2019/20,17,0,5,5,0,0,25
335,C. Coady,Wolves,2019/20,38,38,0,0,13,40,24
122,R. Patricio,Wolves,2019/20,38,38,0,0,13,40,24
126,K. Schmeichel,Leicester,2019/20,38,38,0,0,13,41,23
511,J. Ward-Prowse,Southampton,2019/20,38,0,5,4,0,0,23
437,J. Lundstram,Sheff Utd,2019/20,27,0,5,4,0,0,23
247,B. Mendy,Man City,2019/20,18,18,0,2,7,13,23
696,K. Iheanacho,Leicester,2019/20,13,0,5,4,0,0,23
617,W. Zaha,Crystal Palace,2019/20,36,0,4,5,0,0,22
540,A. Westwood,Burnley,2019/20,35,0,2,8,0,0,22
420,T. Cantwell,Norwich,2019/20,30,0,6,2,0,0,22
522,J. Henderson,Liverpool,2019/20,26,0,4,5,0,0,22
480,J. Shelvey,Newcastle,2019/20,25,0,6,2,0,0,22
622,G. Deulofeu,Watford,2019/20,25,0,4,5,0,0,22
558,Trezeguet,Aston Villa,2019/20,22,0,6,2,0,0,22
235,P. Bardsley,Burnley,2019/20,21,21,0,1,9,19,22
538,Y. Tielemans,Leicester,2019/20,32,0,3,6,0,0,21
510,D. James,Man Utd,2019/20,26,0,3,6,0,0,21
904,H. Wilson,Bournemouth,2019/20,21,0,7,0,0,0,21
412,C. Hourihane,Aston Villa,2019/20,18,0,3,6,0,0,21
320,A. Laporte,Man City,2019/20,13,13,1,0,5,5,21
493,A. Doucoure,Watford,2019/20,37,0,4,4,0,0,20
309,B. Mee,Burnley,2019/20,32,32,1,2,13,45,20
417,N. Redmond,Southampton,2019/20,32,0,4,4,0,0,20
579,M. Noble,West Ham,2019/20,31,0,4,4,0,0,20
463,L. Moura,Tottenham,2019/20,27,0,4,4,0,0,20
641,O. McBurnie,Sheff Utd,2019/20,25,0,6,1,0,0,20
301,L. Dunk,Brighton,2019/20,36,36,3,3,9,50,19
284,L. Digne,Everton,2019/20,34,34,0,9,8,49,19
217,P. Van Aanholt,Crystal Palace,2019/20,28,28,3,2,8,38,19
436,J. Fleck,Sheff Utd,2019/20,28,0,5,2,0,0,19
902,A. St-Maximin,Newcastle,2019/20,22,0,3,5,0,0,19
504,P. Foden,Man City,2019/20,9,0,5,2,0,0,19
140,N. Pope,Burnley,2019/20,38,38,0,0,15,50,18
456,D. McNeil,Burnley,2019/20,38,0,2,6,0,0,18
355,T. Alderweireld,Tottenham,2019/20,33,33,2,2,7,39,18
422,P. Gross,Brighton,2019/20,22,0,2,6,0,0,18
275,L. Shaw,Man Utd,2019/20,19,19,0,0,7,15,18
605,A. Barnes,Burnley,2019/20,17,0,6,0,0,0,18
625,C. Adams,Southampton,2019/20,13,0,4,3,0,0,18
620,D. Origi,Liverpool,2019/20,6,0,4,3,0,0,18
234,C. Azpilicueta,Chelsea,2019/20,36,36,2,6,8,53,17
571,J. Moutinho,Wolves,2019/20,34,0,1,7,0,0,17
379,D. Luiz,Arsenal,2019/20,31,31,2,1,8,38,17
418,E. Buendia,Norwich,2019/20,27,0,1,7,0,0,17
623,Wesley,Aston Villa,2019/20,21,0,5,1,0,0,17
371,N. Otamendi,Man City,2019/20,18,18,2,1,6,21,17
539,A. Yarmolenko,West Ham,2019/20,13,0,5,1,0,0,17
482,M. Almiron,Newcastle,2019/20,36,0,4,2,0,0,16
555,Jorginho,Chelsea,2019/20,28,0,4,2,0,0,16
520,P. Fornals,West Ham,2019/20,26,0,2,5,0,0,16
356,M. Kelly,Crystal Palace,2019/20,18,18,0,1,6,16,16
565,E. Lamela,Tottenham,2019/20,12,0,2,5,0,0,16
645,D. Gayle,Newcastle,2019/20,9,0,4,2,0,0,16
582,D. Gray,Leicester,2019/20,5,0,2,5,0,0,16
388,F. Fernandez,Newcastle,2019/20,29,29,2,3,8,42,15
379,D. Luiz,Aston Villa,2019/20,28,0,3,3,0,0,15
415,J. McGinn,Aston Villa,2019/20,26,0,3,3,0,0,15
914,B. Saka,Arsenal,2019/20,21,0,1,6,0,0,15
254,B. Williams,Man Utd,2019/20,11,11,1,1,5,11,15
619,B. Sharp,Sheff Utd,2019/20,10,0,3,3,0,0,15
915,P. Neto,Wolves,2019/20,9,0,3,3,0,0,15
500,A. Oxlade-Chamberlain,Liverpool,2019/20,19,0,4,1,0,0,14
506,T. Walcott,Everton,2019/20,16,0,2,4,0,0,14
329,C. Clark,Newcastle,2019/20,14,14,2,0,4,14,14
105,V. Guaita,Crystal Palace,2019/20,35,35,0,0,10,42,13
536,Rodri,Man City,2019/20,29,0,3,2,0,0,13
358,J. Stephens,Southampton,2019/20,28,28,1,3,7,38,13
541,L. Milivojevic,Crystal Palace,2019/20,28,0,3,2,0,0,13
501,R. Fraser,Bournemouth,2019/20,22,0,1,5,0,0,13
453,S. McTominay,Man Utd,2019/20,20,0,3,2,0,0,13
655,A. Connolly,Brighton,2019/20,16,0,3,2,0,0,13
598,Bernard,Everton,2019/20,15,0,3,2,0,0,13
287,O. Zinchenko,Man City,2019/20,14,14,0,0,6,13,13
516,R. Barkley,Chelsea,2019/20,12,0,1,5,0,0,13
508,J. Schlupp,Crystal Palace,2019/20,12,0,3,2,0,0,13
925,S. Bergwijn,Tottenham,2019/20,8,0,3,2,0,0,13
653,M. Obafemi,Southampton,2019/20,8,0,3,2,0,0,13
589,C. Hudson-Odoi,Chelsea,2019/20,7,0,1,5,0,0,13
491,G. Wijnaldum,Liverpool,2019/20,35,0,4,0,0,0,12
372,D. Burn,Brighton,2019/20,32,32,0,2,9,42,12
593,L. Dendoncker,Wolves,2019/20,32,0,4,0,0,0,12
553,G. Sigurdsson,Everton,2019/20,31,0,2,3,0,0,12
438,Fabinho,Liverpool,2019/20,22,0,2,3,0,0,12
374,A. Rudiger,Chelsea,2019/20,20,20,2,0,5,24,12
632,S. Long,Southampton,2019/20,16,0,2,3,0,0,12
331,S. Dann,Crystal Palace,2019/20,14,14,0,1,5,14,12
232,J. Cancelo,Man City,2019/20,13,13,0,0,5,11,12
439,N. Keita,Liverpool,2019/20,9,0,2,3,0,0,12
514,D. Rice,West Ham,2019/20,38,0,1,4,0,0,11
330,J. Lascelles,Newcastle,2019/20,23,23,1,0,8,31,11
114,H. Lloris,Tottenham,2019/20,20,20,0,0,6,21,11
557,F. Anderson,West Ham,2019/20,20,0,1,4,0,0,11
248,C. Soares,Arsenal,2019/20,18,18,1,1,4,20,11
237,J. Manquillo,Newcastle,2019/20,18,18,0,1,6,21,11
644,D. Solanke,Bournemouth,2019/20,17,0,3,1,0,0,11
